lugarnacimientoLabel,author,authorLabel,idGND
Illerbachen,http://www.wikidata.org/entity/Q825788,Bernhard Riedmiller,138335257
Illerbachen,http://www.wikidata.org/entity/Q825788,Bernhard Riedmiller,1012297012
Essen,http://www.wikidata.org/entity/Q828104,Berthold von Bohlen und Halbach,136817750
Essen,http://www.wikidata.org/entity/Q828104,Berthold von Bohlen und Halbach,1047261189
Wolfsanger,http://www.wikidata.org/entity/Q761059,Harald Bratt,116414405
Wolfsanger,http://www.wikidata.org/entity/Q761059,Harald Bratt,116541482
Düsseldorf,http://www.wikidata.org/entity/Q896912,Ulrich Leman,116890959
Düsseldorf,http://www.wikidata.org/entity/Q896912,Ulrich Leman,174237537
Stuttgart,http://www.wikidata.org/entity/Q817915,Benno Eggert,127938613
Stuttgart,http://www.wikidata.org/entity/Q817915,Benno Eggert,1023929074
Quedlinburg,http://www.wikidata.org/entity/Q994236,Werner Lindenbein,125568150
Quedlinburg,http://www.wikidata.org/entity/Q994236,Werner Lindenbein,1012710165
Książ,http://www.wikidata.org/entity/Q879263,Bolko Hochberg,116920602
Książ,http://www.wikidata.org/entity/Q879263,Bolko Hochberg,117035688
Brunswick,http://www.wikidata.org/entity/Q1039293,Johann Carl Heinrich Kretschmar,116525851
Brunswick,http://www.wikidata.org/entity/Q1039293,Johann Carl Heinrich Kretschmar,1033876577
Berlin,http://www.wikidata.org/entity/Q1039371,Carl Lange,104043768
Berlin,http://www.wikidata.org/entity/Q1039371,Carl Lange,1165873761
Marzoll,http://www.wikidata.org/entity/Q1040623,Carl Sittler,127940081
Marzoll,http://www.wikidata.org/entity/Q1040623,Carl Sittler,129802719
Dresden,http://www.wikidata.org/entity/Q1079235,Christian Daniel Erhard,10012495X
Dresden,http://www.wikidata.org/entity/Q1079235,Christian Daniel Erhard,116531746
Kelbra,http://www.wikidata.org/entity/Q1080881,Christian Ludwig August von Arnswaldt,116352620
Kelbra,http://www.wikidata.org/entity/Q1080881,Christian Ludwig August von Arnswaldt,1019727659
Ilsenburg,http://www.wikidata.org/entity/Q1221807,Dieter Bührle,118857630
Ilsenburg,http://www.wikidata.org/entity/Q1221807,Dieter Bührle,117758167
Bielefeld,http://www.wikidata.org/entity/Q1127872,Constantin Koenen,189557508
Bielefeld,http://www.wikidata.org/entity/Q1127872,Constantin Koenen,1025668413
NA,http://www.wikidata.org/entity/Q1243664,Dora von Bodenhausen-Degener,104870044
NA,http://www.wikidata.org/entity/Q1243664,Dora von Bodenhausen-Degener,11621578X
Trier,http://www.wikidata.org/entity/Q1246073,Erich Kraemer,122266099
Trier,http://www.wikidata.org/entity/Q1246073,Erich Kraemer,1051210259
Walddorfhäslach,http://www.wikidata.org/entity/Q1265932,Carl Heim,116656395
Walddorfhäslach,http://www.wikidata.org/entity/Q1265932,Carl Heim,1012271374
Walddorf,http://www.wikidata.org/entity/Q1265932,Carl Heim,116656395
Walddorf,http://www.wikidata.org/entity/Q1265932,Carl Heim,1012271374
Sinsheim,http://www.wikidata.org/entity/Q1286520,Edmund Kiehnle,108132498
Sinsheim,http://www.wikidata.org/entity/Q1286520,Edmund Kiehnle,1012578453
Bitburg,http://www.wikidata.org/entity/Q1288853,Eduard Nels,133614530
Bitburg,http://www.wikidata.org/entity/Q1288853,Eduard Nels,105121176X
Jáchymov,http://www.wikidata.org/entity/Q1309947,Paul Mathesius,119755785
Jáchymov,http://www.wikidata.org/entity/Q1309947,Paul Mathesius,141847077
Hildesheim,http://www.wikidata.org/entity/Q1327778,William Friedrich von Hammerstein,116442654
Hildesheim,http://www.wikidata.org/entity/Q1327778,William Friedrich von Hammerstein,117494208
Rheda-Wiedenbrück,http://www.wikidata.org/entity/Q1336084,Emil Friedrich I,104201460
Rheda-Wiedenbrück,http://www.wikidata.org/entity/Q1336084,Emil Friedrich I,189435437
